Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Warwick;Fighter;TOP;A;48.69;-3.81;51.36%;40.01%;2.51%;7.12%;1.84
Wukong;Fighter;JUNGLE;S;58.65;5.14;51.41%;77.35%;5.62%;2.71%;2.8
Wukong;Fighter;TOP;B;45.81;2.51;51.42%;18.79%;1.31%;2.71%;2.13
Xayah;Marksman;ADC;A;55.16;14.43;51.81%;98.64%;8.54%;1.24%;2.51
Xerath;Mage;SUPPORT;A;51.38;2.56;51.54%;69.16%;3.72%;3.11%;2.63
Xerath;Mage;MID;B;47.33;-0.79;50.34%;27.42%;1.36%;3.11%;3.3
Xin Zhao;Fighter;JUNGLE;B;41.96;4.88;51.03%;88.20%;2.15%;0.28%;2.3
Yasuo;Fighter;MID;God;83.58;14.87;49.44%;72.19%;11.73%;19.86%;1.75
Yasuo;Fighter;TOP;B;42.05;-1.28;47.93%;16.65%;2.60%;19.86%;1.49
Yasuo;Fighter;ADC;D;29.58;-2.32;50.20%;10.02%;1.46%;19.86%;2
Yone;Assassin;MID;God;67.9;6.47;50.42%;63.80%;8.52%;10.53%;1.94
Yone;Assassin;TOP;A;48.63;-4.59;48.25%;33.51%;4.34%;10.53%;1.63
Yorick;Fighter;TOP;B;47.71;0.62;51.01%;89.94%;3.02%;2.71%;1.56
Yuumi;Support;SUPPORT;S;64.45;-25.55;44.44%;98.81%;7.96%;19.86%;3.88
Zac;Tank;JUNGLE;God;70.73;7.78;52.12%;69.42%;6.49%;14.77%;3.53
Zac;Tank;TOP;A;53.65;2.22;53.24%;13.56%;1.29%;14.77%;2.73
Zed;Assassin;MID;God;88.26;1.05;48.68%;77.39%;10.00%;36.90%;2.22
Zed;Assassin;JUNGLE;D;34.73;-23.06;44.36%;18.28%;2.27%;36.90%;2.31
Zeri;Marksman;ADC;B;45.13;-14.49;49.84%;95.18%;6.55%;2.45%;2.49
Ziggs;Mage;MID;B;43.49;-4.52;50.44%;56.28%;1.40%;0.23%;2.51
Ziggs;Mage;ADC;D;35.28;-3.69;51.96%;32.03%;0.74%;0.23%;2.6
Ziggs;Mage;SUPPORT;D;27.09;-5.34;47.47%;12.02%;0.32%;0.27%;2.04
Zilean;Support;MID;A;51.52;-3.47;53.33%;15.52%;0.49%;1.40%;3.59
Zilean;Support;SUPPORT;A;48.35;-2.49;50.95%;79.72%;2.67%;1.40%;3.11
Zoe;Mage;MID;A;48.46;2.43;49.14%;87.85%;3.45%;1.45%;2.6
Zoe;Mage;SUPPORT;D;28.33;-3.55;47.73%;10.03%;0.37%;1.45%;2.14
Zyra;Mage;SUPPORT;A;47.97;-4.48;51.13%;91.23%;3.67%;1.94%;2.19
